hashtags:,#HUMOR,#COMEDIA
post_url,username,comment_id,comment_text
cecibz_2013,18070534381999670,https://www.instagram.com/p/DLkmehivor_/,🤣😂🤣😂🤣
mgvu79,18346491556083585,https://www.instagram.com/p/DLkmehivor_/,😂😂
beluna51,17944028126888853,https://www.instagram.com/p/DLkmehivor_/,"Donde compraste esa camisa, Tila? Yo también la quiero. No, la necesito"
