https://www.instagram.com/p/C4qxvzKMvyL/,hashtags:,#teregañoenyucateco
username,comment_id,text
soyseleneasidefacil,18004229540523241,"Es que esa historia es la de mi ex con su ex, que volvieron porque su mami así lo quiso (eso dijo según el) y ahora es su esposa,. Dios es bueno, me quito a un niño que no sabe hacerse responsable de sus decisiones"
candyrodz02,18097728937392900,😂😂😂😂😂😂😂😂
maky_juan_ricalde,18132773293322866,Su 🧀 🤣 🤣
freddyalexandermck,17946725666787684,Niii mergaaáa
carlosfloresesperon,18000132560295621,😂😂😂😂
lll.yz_,17914606598811106,😂😂😂😂 te volaste la barda tila no paro de reír 😂😂😂
m1l3na_chapiz,18317574718192218,Jajaja su mamá ni me conoce 🙃🥴
veronica.peniche,18057692905491554,😂😂😂😂😂 Jajajaja buenísimo como siempre 👏👏
nany.mome,18010494635365913,😂
pchan34,17843346324185906,Jajajajajajaja cierto jajajajajaj 😂😂yo por eso lo tengo como amigo pero me resisto a regresar. Por q tiene la misma actitud de siempre 😂😂
maribellm6,18035763397700963,😂😂😂😂😂
hernandez_aaron184,18018155468476183,😂😂😂😂😂
nachotorresguzman,18013780811225619,"¿Quién es tu mami?
Ja, ja, ja,"
lennyreginacastillo,18012910346217216,😂😂😂
levela6006,17917356098869544,Jajajaja  jajajaja
chuchozozaya,17867217762089748,😂😂😂
juliocesarcharles1,17914339568813955,"Jajajaja literal si, mi suegra quiere que volvamos pero ya somos amix"
isabellminoz,17990233064432022,😂😂😂😂
bojorquezordazanaesther,18044256010638979,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂
mariamaussan,18053969536565856,😂😂😂😂
davyhosh,17914477487910017,😂😂😂😂😂
grandiosa888,18015282323323952,😂😂😂 🍑 😂😂
jessy_rn,18018988061140590,😂😂😂😂😂
gabita_gongora,18042573754669943,😂😂😂😂😂😂
helenakaliope,17922712721779764,😂😂😂😂
soysanwellness,18050913037606718,😂😂😂😂😂😂😂😂 No puedo con esto jajajaja
