hashtags:,#humor,#comedia,#lipsync
post_url,username,comment_id,comment_text
gabrielagamboagurbiel,17945536385779150,https://www.instagram.com/p/C1C2PEjL0Nz/,😂😂😂😂😂😂😂
rmary2ma9,18031888876754663,https://www.instagram.com/p/C1C2PEjL0Nz/,Yo la conocí hoy
bebitasteel251,18250769410213698,https://www.instagram.com/p/C1C2PEjL0Nz/,😂😂😂😂😂😂😂😂😂😂
claudiacansino,18034706836680120,https://www.instagram.com/p/C1C2PEjL0Nz/,@elsycastro con mulix jaja
zcool008,17998422665147584,https://www.instagram.com/p/C1C2PEjL0Nz/,😂😂😂😂😂😂😂😂😂😂😂😂😂
hotarumiura,18020965489909859,https://www.instagram.com/p/C1C2PEjL0Nz/,😂😂😂😂😂😂😂😂😂😂
amelia10946,18116013808338020,https://www.instagram.com/p/C1C2PEjL0Nz/,😂😂
marycelagallareta,17875769520002226,https://www.instagram.com/p/C1C2PEjL0Nz/,"Son geniales y únicas, jajajajajajajaja"
cofeliam,17988690689321684,https://www.instagram.com/p/C1C2PEjL0Nz/,Pero no supimos el chisme 😢😂
gsandoval.cesar,18015056294001444,https://www.instagram.com/p/C1C2PEjL0Nz/,Hubiera quedado genial con sus propias voces.😂😂😂😂
merrinsqui,18003640547336940,https://www.instagram.com/p/C1C2PEjL0Nz/,Porque hasta en el chisme consigues amig@s jajajajaja
jorge.garcia971,18028525903782285,https://www.instagram.com/p/C1C2PEjL0Nz/,😂😂😂
ferislas_mistika,18035071597712307,https://www.instagram.com/p/C1C2PEjL0Nz/,😂
ivaaa.3452,18406741765000511,https://www.instagram.com/p/C1C2PEjL0Nz/,Hahahahahahahahaa 😂💙✨
