hashtags:,#navidad2025,#fblifestyle
post_url,username,comment_id,comment_text
victorramayo,17922627225195410,https://www.instagram.com/p/DSq-ps-jPHO/,🙌🏼🙌🏼🙌🏼🎄🎄🎄
suemynoemi,18126093724519211,https://www.instagram.com/p/DSq-ps-jPHO/,Por favor quiero un contacto para contratar show privado
susanalopezzz,18088725469817385,https://www.instagram.com/p/DSq-ps-jPHO/,"Abrazos queridos feliz navidad 🙏🏻🎄⭐️😘 Oscar, Luis @jeffreyquintalmx"
jeffreyquintalmx,18087756796836320,https://www.instagram.com/p/DSq-ps-jPHO/,"@susanalopezzz feliz navidad, Susana, querida. Un abrazote!!"
susanalopezzz,18063732803235967,https://www.instagram.com/p/DSq-ps-jPHO/,"@jeffreyquintalmx ❤🙌 Abrazo, enorme ☺️"
