hashtags:,#independencia,#mexicolindoyquerido
post_url,username,comment_id,comment_text
yahirpachecomx,18079172944800758,https://www.instagram.com/p/DOoXv0IAAp8/,😍😍😍
yahirpachecomx,18305826301216165,https://www.instagram.com/p/DOoXv0IAAp8/,LOBA LOBA LOBA 😍
_thi4go08,17933704533085396,https://www.instagram.com/p/DOoXv0IAAp8/,Viva Mexico 🌮🇲🇽🇲🇽
