hashtags:,#VERACRUZ,#PICANTE,#COMEDIA
post_url,username,comment_id,comment_text
ruso_g.ortz,17938287498001625,https://www.instagram.com/p/DKGPvdjMEVp/,😂😂😂😂😂
salvadorgb8,18061507754133073,https://www.instagram.com/p/DKGPvdjMEVp/,😂😂😂😂😂😂
berenancy2,18066078098067694,https://www.instagram.com/p/DKGPvdjMEVp/,Jajajjajaja tremenda enchilada
amparo_1810,17847906153476275,https://www.instagram.com/p/DKGPvdjMEVp/,😂😂🔥
celiskubertha,18067624244490170,https://www.instagram.com/p/DKGPvdjMEVp/,🔥😂
celiskubertha,18208402144305261,https://www.instagram.com/p/DKGPvdjMEVp/,😂
jordania_jimenez3024,18006953525767383,https://www.instagram.com/p/DKGPvdjMEVp/,Se puso rojo como su nariz 😂😂😂😂😮
gelyalducin,18033823688354126,https://www.instagram.com/p/DKGPvdjMEVp/,"Bien @comediantepipirin que no digan que los veracruzanas no podemos con el habanero. Paisano eres un excelente comediante, éxito 🙌"
