hashtags:,#humor,#comedia,#halloween
post_url,username,comment_id,comment_text
dani_elahuggy_expe_0033,18055979036540116,https://www.instagram.com/p/DPev5VQDc0I/,Te quiero tila ❤️😍👏
carmita_ecd,18069014477246393,https://www.instagram.com/p/DPev5VQDc0I/,Comadre me encantan las historias macabronas 👏👏👏👏👻👻👻👻👻
tilasesto,17907243471252102,https://www.instagram.com/p/DPev5VQDc0I/,"@carmita_ecd entonces no te pierdas de nuestro próximo estreno ""La Mansión Embrutada"", corre por tus boletos en tusboletos.mx y nos vemos en el teatro comadre!!!"
patrick_680317,18098297503673013,https://www.instagram.com/p/DPev5VQDc0I/,😂😂😂😂😂😂😂😂😂😂😂😂
emmanuel_fhernando,17924343120137599,https://www.instagram.com/p/DPev5VQDc0I/,La lonja moca di ! (Les voy a contar un cuento )
seviperstruck,18323860993212737,https://www.instagram.com/p/DPev5VQDc0I/,Amé
emmanuel_fhernando,18113139649550295,https://www.instagram.com/p/DPev5VQDc0I/,😂😂😂😂😂😂😂
