hashtags:,#comedia,#humor,#presa
post_url,username,comment_id,comment_text
el_inge_borrego,18112841527436085,https://www.instagram.com/p/DJ5XuTTs-L7/,Jajajaja
vitito_riv,18136826191411578,https://www.instagram.com/p/DJ5XuTTs-L7/,😂😂😂😂😂😂
lucilabeltrandeanda,17859424017442584,https://www.instagram.com/p/DJ5XuTTs-L7/,😂😂😂😂😂😂
musadetinta.ttt,18060715951921858,https://www.instagram.com/p/DJ5XuTTs-L7/,🤣🤌🏻
ducisecompan,18061573448165047,https://www.instagram.com/p/DJ5XuTTs-L7/,😂😂😂
anarosamartindel,17935380689912999,https://www.instagram.com/p/DJ5XuTTs-L7/,🤣🤣🤣🤣🤣🤣🤣🤣🤣
miry03sanchez,18051784631358355,https://www.instagram.com/p/DJ5XuTTs-L7/,😂😂
celiskubertha,18063243293030659,https://www.instagram.com/p/DJ5XuTTs-L7/,Jajajaja
carmita_ecd,17915928429000004,https://www.instagram.com/p/DJ5XuTTs-L7/,😂😂😂😂
mahe132025,18044991692199608,https://www.instagram.com/p/DJ5XuTTs-L7/,😂😂😂😂😂
lagunaovando,18043172654236571,https://www.instagram.com/p/DJ5XuTTs-L7/,😂😂😂😂😂
kalet464,18273703441278188,https://www.instagram.com/p/DJ5XuTTs-L7/,😮😂
atx.angela_504,18056821558991530,https://www.instagram.com/p/DJ5XuTTs-L7/,😂😂😂😂😂
emxlixo_,18064769212864217,https://www.instagram.com/p/DJ5XuTTs-L7/,Tila Maria un saludo 🥹
luis.angel_reyes,18040015721297814,https://www.instagram.com/p/DJ5XuTTs-L7/,XD
