hashtags:,#Teatro,#Princesas,#TilaMariaSesto
post_url,username,comment_id,comment_text
paco_2503,17871597532969136,https://www.instagram.com/p/BsEMPUoF2yd/,👍🏼
eduardoalejandro83,17870325829539208,https://www.instagram.com/p/BsEMPUoF2yd/,pasa el insta de la sirenita
ivonecarrillo_,18003975997111205,https://www.instagram.com/p/BsEMPUoF2yd/,Esas vendedoras de boleto no apoyan para entrar al teatro son bien mamonas no te hablan con amabilidad ni te animan a entrar peor q las q critican de huacho martin
frikilara,17924854864261789,https://www.instagram.com/p/BsEMPUoF2yd/,@clauudiasolis mostrando tu derrier 👏
chachitacirila,17989859905131674,https://www.instagram.com/p/BsEMPUoF2yd/,Qué bellas
javiveramay,17942358016239143,https://www.instagram.com/p/BsEMPUoF2yd/,Me encanto la obra.
karmin_de_amor,18015616015040138,https://www.instagram.com/p/BsEMPUoF2yd/,😍
veronicagonza16,18001791448105220,https://www.instagram.com/p/BsEMPUoF2yd/,"Muchísimas felicidades. Tila. Dios te bendiga, te llene de muchos éxitos, que el año que vamos a empezar sea de muchos muy buenos logros un fuerte abrazo, y mil gracias por tu shows.son buenísimos, un fuerte abrazo y millones de bendiciones a tu hermosa familia. Dale un beso a chino está bien buenote, igual que Óscar jajaja"
miguelcoellomx,17986452424157752,https://www.instagram.com/p/BsEMPUoF2yd/,😍😍😍😍
mededuran,17942243044241786,https://www.instagram.com/p/BsEMPUoF2yd/,La mejor ❤️
mededuran,17944851307228237,https://www.instagram.com/p/BsEMPUoF2yd/,😍😍😍
harryhernandezpena,17943035284238135,https://www.instagram.com/p/BsEMPUoF2yd/,😍👏
espacodacomedia,17854271830310750,https://www.instagram.com/p/BsEMPUoF2yd/,🍀
