hashtags:,#humor,#comedia,#standup
post_url,username,comment_id,comment_text
nora.cecena,18021621305665408,https://www.instagram.com/p/DG6SiOJpe8F/,Ve a Phoenix Az 🙏
samreyes78,17961497723872914,https://www.instagram.com/p/DG6SiOJpe8F/,No mames
gomerossy,18488288419020145,https://www.instagram.com/p/DG6SiOJpe8F/,😍😍😍
mau.carrillo.902,18330880693091294,https://www.instagram.com/p/DG6SiOJpe8F/,😂😂😂😮no mms😂😂😂
crpo222,17864648733351036,https://www.instagram.com/p/DG6SiOJpe8F/,Me encanta!
turixtiandocaucel,18044248124371817,https://www.instagram.com/p/DG6SiOJpe8F/,Jajajajaja te amo
