https://www.instagram.com/p/C8z4IsTNtp4/,hashtags:,#YUCATÁN
username,comment_id,text
lapockapalacios,18265939588240764,😂😂😂😂
geshuem,17991923285646387,Siiii
amelia10946,17909495303975471,👏👏 😂😂
onnamanga,18054897349638177,Vengan a Cd del Carmen 😂😂😂
brand_pay,18083426995462723,jajaja tanto así que casi no los visitan 😂😂
gongoracab,18033935753008875,@brand_pay 📌 che buey 🐂 en que te afecto lo que dijeron
brand_pay,17950581659698919,@gongoracab 😂😂😂😂 cotorrea en que te afecto lo que dije 😂😂
geshuem,18026678258332171,@gongoracab que no vengan esos 🐂. Que se vayan a su Cancun y Vallarta a tirar basura y contaminar
saracaamal29,18051907828663837,Saludos tila Glu Glu 😍😍😍❤️❤️ besitos 😘
