hashtags:,#mujeres,#verdad,#peligro
post_url,username,comment_id,comment_text
celiskubertha,17969564006895080,https://www.instagram.com/p/DKLZUnUoRID/,A si mero.  Para luego abandonarlo jajajaja
carlosandresfloresv,18373071607134787,https://www.instagram.com/p/DKLZUnUoRID/,🙌
carlosandresfloresv,18086850382651110,https://www.instagram.com/p/DKLZUnUoRID/,Dios santo namás te neneee 😮
