hashtags:,#MERIDA,#SALADDIN
post_url,username,comment_id,comment_text
laura_schoeckel,18049204610447037,https://www.instagram.com/p/DLvh2ZwsUoW/,Van a abrir otras fechas? 😍
pmfossat,18063566474170242,https://www.instagram.com/p/DLvh2ZwsUoW/,Cuando cdmx?
hey_primo17,17920005125999208,https://www.instagram.com/p/DLvh2ZwsUoW/,Pasa el insta de saladin
