hashtags:,#humor,#comedia,#consejos
post_url,username,comment_id,comment_text
majomexico,17973543956896979,https://www.instagram.com/p/DKN-H1WM8Yl/,😍😍😍😍👏👏👏😂😂😂 amooooooo a Tila...... algún día podré ir a ver alguno de sus shows
helenakaliope,18355822252151844,https://www.instagram.com/p/DKN-H1WM8Yl/,😂😂😂buenos consejos
spirit_wolf_v,18084729205734943,https://www.instagram.com/p/DKN-H1WM8Yl/,😂😂😂😂😂 buena dupla
nina_rdz_s,18059702114177507,https://www.instagram.com/p/DKN-H1WM8Yl/,Te amo tía Tilaaaaa 😂😂😂😂😂
aligomez_,18100181431490312,https://www.instagram.com/p/DKN-H1WM8Yl/,✨✨✨Miren a Shanik✨✨✨
alonzocv26,17980942490830643,https://www.instagram.com/p/DKN-H1WM8Yl/,😂😂😂😂😂
mariogilbertomaag,18098903644556838,https://www.instagram.com/p/DKN-H1WM8Yl/,😂😂😂 Eres la mejoooor
