hashtags:,#humor,#comedia,#diadelenfermero
post_url,username,comment_id,comment_text
cruzschild,17926975989061819,https://www.instagram.com/p/DJkIK19v8nH/,JAJJAJAJA T AMO CLAUDITAAA
claudiacast_,17922163290088105,https://www.instagram.com/p/DJkIK19v8nH/,@cruzschild yo maaaaaas❤️
vanepuertov,18327427882165548,https://www.instagram.com/p/DJkIK19v8nH/,😂😂😂😂😂 buenísimo
mari_cruz5240,17881993827287018,https://www.instagram.com/p/DJkIK19v8nH/,😂😂😂 jajajaja me encantoooo
danyososa,18299713732172424,https://www.instagram.com/p/DJkIK19v8nH/,😂😂😂😂buenisimoooo👏
jdiegoae,18066972250822051,https://www.instagram.com/p/DJkIK19v8nH/,😂😂😂😂😂😂👏👏👏👏
barbrjn,18064683143041864,https://www.instagram.com/p/DJkIK19v8nH/,Jajajajajajaja😂
danielbaronamx,17865281172307913,https://www.instagram.com/p/DJkIK19v8nH/,😂👏👏👏
hrhjohn,17965969496866932,https://www.instagram.com/p/DJkIK19v8nH/,Jajajaja ese último
robertomonforterealestate,17847467295447033,https://www.instagram.com/p/DJkIK19v8nH/,Jajajaja jajajaja
anasofipm_,17882434416288529,https://www.instagram.com/p/DJkIK19v8nH/,JAJAJAJAJAJAJAJAJ TQM @jeffreyquintalmx
feravina2309,18046269683529265,https://www.instagram.com/p/DJkIK19v8nH/,😹❤️
natzconzeta,18002183183771168,https://www.instagram.com/p/DJkIK19v8nH/,😂😂😂
yosoylavenegas,17859011379420366,https://www.instagram.com/p/DJkIK19v8nH/,Me encantaría que fuera broma jajajajajaja 😂😂😂😂😂
ugaldealex.923,18032308679345268,https://www.instagram.com/p/DJkIK19v8nH/,😂 los hay así!
noemig039,18503902414053844,https://www.instagram.com/p/DJkIK19v8nH/,😂😂😂😂
bojorquezordazanaesther,18270631273285447,https://www.instagram.com/p/DJkIK19v8nH/,😂😂😂😂😂😂
alejcont85_,18068660198300969,https://www.instagram.com/p/DJkIK19v8nH/,😂
farashaartesynudos,18063442832098628,https://www.instagram.com/p/DJkIK19v8nH/,😂😂😂😂😂
conce_15,18052476287366259,https://www.instagram.com/p/DJkIK19v8nH/,😂😂😂😂
magaly9936,17894418405219397,https://www.instagram.com/p/DJkIK19v8nH/,😂😂😂😂
alfre_1405,17967339233911856,https://www.instagram.com/p/DJkIK19v8nH/,😂😂😂😂
soilanovelo,18068945710801289,https://www.instagram.com/p/DJkIK19v8nH/,😂😂😂😂
marycelagallareta,17998441601787048,https://www.instagram.com/p/DJkIK19v8nH/,😂😂😂😂😂😂😂😂😂😂
justyrh,18270329998287873,https://www.instagram.com/p/DJkIK19v8nH/,😂😂😂😂😂
amelia10946,18396717211115775,https://www.instagram.com/p/DJkIK19v8nH/,😂😂
maria.larab.3,18062902222886911,https://www.instagram.com/p/DJkIK19v8nH/,😂😂😂😂
juan_paz1645,17898016008090228,https://www.instagram.com/p/DJkIK19v8nH/,"Parecen chistes pero , son anécdotas"
l.escoffie,17948758856970563,https://www.instagram.com/p/DJkIK19v8nH/,😂😂😂
paalmmy,18280024489248840,https://www.instagram.com/p/DJkIK19v8nH/,Un día normal en el laboratorio 🫩🙃
orys16,17985417317674683,https://www.instagram.com/p/DJkIK19v8nH/,@saralacomadre_73 así tu con tus pacientes 😂😂😂😂😂
evavaldezh,18053971166462493,https://www.instagram.com/p/DJkIK19v8nH/,😂😂🤣🤣🤣🤣 si hay quien les pasa🤣
alfredosan5,18032794583651660,https://www.instagram.com/p/DJkIK19v8nH/,"Pues el caso de la gorda es igual, nunca entiende"
menaa_hugo_gael,18499111573024029,https://www.instagram.com/p/DJkIK19v8nH/,Jjajaja pto asco 🤣
