hashtags:,#humor,#comedia,#mentiras
post_url,username,comment_id,comment_text
carmita_ecd,18357406924153451,https://www.instagram.com/p/DL8J64tv4VF/,😂😂😂😂 me caes bien comadrita!!! Te amamos!!! 👏👏👏❤️❤️❤️❤️
blancavzq,17981863967712236,https://www.instagram.com/p/DL8J64tv4VF/,😂😂😂😂😂
jovi.ruiz.3,18061796981332299,https://www.instagram.com/p/DL8J64tv4VF/,🤣🤣🤣
selchtz,18091811203713725,https://www.instagram.com/p/DL8J64tv4VF/,😂😂😂😂
stefania_piercamilli,18032333129674638,https://www.instagram.com/p/DL8J64tv4VF/,Aguante los coros
esquivelguadalupe32,17951165894989468,https://www.instagram.com/p/DL8J64tv4VF/,😂😂😂😂👏👏👏👏
