hashtags:,"#SEÑORA,",#COMEDIA,#STANDUP
post_url,username,comment_id,comment_text
marrigunaga,18031599728252326,https://www.instagram.com/p/C-vlM_YOE9E/,😂😂😂😂
patrick_680317,18047669797734218,https://www.instagram.com/p/C-vlM_YOE9E/,Bájale dos rayitas a tu audio. Pelanaaaaaa
patrick_680317,18048456358847399,https://www.instagram.com/p/C-vlM_YOE9E/,😂😂😂😂😂😂
diablocervantes,17909157164999435,https://www.instagram.com/p/C-vlM_YOE9E/,😂😂😂
sandra_cleverley_,18040011728051597,https://www.instagram.com/p/C-vlM_YOE9E/,❤️❤️❤️
velvet_urzua,18239590867280974,https://www.instagram.com/p/C-vlM_YOE9E/,
lidialorenamata,18039905107994196,https://www.instagram.com/p/C-vlM_YOE9E/,🙌🔥
