hashtags:,#ex,#humor,#superame
post_url,username,comment_id,comment_text
gaspar.coa,18043525807629678,https://www.instagram.com/p/C3gobqUtU31/,😮
jolie_lmonterde,17972987444531828,https://www.instagram.com/p/C3gobqUtU31/,Jajajaj
amelia10946,17865860400079520,https://www.instagram.com/p/C3gobqUtU31/,😂😂
clever.rc,18413568958007237,https://www.instagram.com/p/C3gobqUtU31/,😂😂😂
