https://www.instagram.com/p/BBlznM0yAig/,hashtags:,#ComparsaOficial
username,comment_id,text
fcasares04,17844377698100179,Donde hubo carnaval
guillermo6135,17844373513100179,Te falto tu penacho ne
dianelaferraez,17844368245100179,Mira @saramargeny
arturoviera,17844367660100179,@alegien
zkdlin899,17844367624100179,"Jajajaja, no mames:( queria una foto contigo eres mi pinche idola, maldita gripa y maldito mi ermitañismo 😂😂😭"
basto_juanjo,17844367579100179,@iambasto ❤️ Jajajaja
jose___alejandro,17844367309100179,Jaja muy buena la foto...oye Tila cuando fuiste a dar tú show en Calkini  fui a verte queria una celfie contigo estava apunto pero NO se pudo...Crees que algún día pasará...😏😉👍
mariluvg,17844367303100179,Con todo amix @larissachacon
saramargeny,17844367291100179,JAJAJAJAJA AMIGA @larissachacon estábamos un poco divertidas❤😂 || @tilasesto soy tu faaaaan!!💖
