hashtags:,#sabrosa,#humor,#fakebody
post_url,username,comment_id,comment_text
carlosandresfloresv,18086231362588161,https://www.instagram.com/p/DKVDNCAPQIN/,Estás rquisimaaaa neneee te amooo 😂
gloria_______f,18388913137138935,https://www.instagram.com/p/DKVDNCAPQIN/,😂😂😂
