hashtags:,#parejas,#humor,#comedia
post_url,username,comment_id,comment_text
normagabrielamorenoluna,18057228029258537,https://www.instagram.com/p/DKD_d-mBWZ3/,"😂😂😂😂 jajajaja la música ,me mataste,y la mirada"
brenda_palacios_castaneda,18069124844508599,https://www.instagram.com/p/DKD_d-mBWZ3/,Jajajajajaja tú tienes el punto G ahí 😂😂😂
