https://www.instagram.com/p/BgmVAs4FwqH/,hashtags:,#Khaleesi
karmin_de_amor,17932443544041952,que bella foto
lagisemarina,17906361955132314,Esta bien linda. Felicidades!!!
inescielopm,17860238188231504,Muchas felicidades queria khalessi 🎂 es un amor de niña aunque se pierda en el super 🙊
noemialcocerm,17902461124160284,Felicidades a tu princesa. Oscat
__._.___amay,17906914843142187,Muchas felicidades a Khalessi preciosa🎉💕
teresitadejesus9,17932697680045245,Que niña más bonita! Felicidades @tilasesto
deenenita,17913768424087456,Muchas Bendiciones a tu princesa y a ti y tu familia
raven_ellie_,17918144344117421,Muero de amorrr! Mira @jairo_jonas se parece mucho a él
raven_ellie_,17906289922188032,@jairo_jonas siii 😍😍
la_leonasaenz,17842410682248341,Felicidades para la hermosa khaleesi
cristopher_may26,17859148144236192,Esta muy hermosa tu hija @tilasesto  muchas bendiciones y que la pasen súper bonito ❤
anitatellosandoval,17932866835033300,🌹🌹🌹🌺🌺🌈🌈🌈🌈
mededuran,17891555062194964,La princesa más bella 😍❤️ Feliz cumpleaños a la princesa de la casa🎂🎂🎂
goddessjanmx,17857567948243426,"Preciosas las dos💓 pero más la reina de reinas, felicidades a la princesita😍💓"
maytepastrana,17923899412079552,Está preciosa. Felicidades 🎊🎂
naayeli_romero,17903516536161253,La tilita 👑
estrellajuliana,17859398089239794,❤❤❤❤❤❤❤❤❤
leslie.corvinus,17874222535200276,🎂🎂🎂🎂🎂
michyutrdz95,17917036942120085,😍😍😍😍😍😍
linadepp2,17903747734155001,#mederrito #bella
conchaclaudia,17857718068242842,"Felicidades a la Reyna de tu corazón, Dios se las bendiga infinitamente, que siga beillando siempre au hermoso sol"
euanaida,17904447505151597,Muchas felicidades para tu hija hermosa... Que dios la bendiga siempre
bazarlucabrera,17916576211124298,Que hermosa se parece mucho a ti idéntica tila  pequeña😘
qvdianna,17932413808015070,Xhula como tu! Felicidades a Ozdan y a la muñeca
laurablanqueto,17916771346124816,Feliz cumpleaños princesa! Es una mini Tila! Llegaste a la mejor familia muñeca😚😚
alesita_garpe,17931532984022140,Muchas felicidades a tu princesa 🎂🎈🎊🎉
frikilara,17919179986103198,Uay que hermosa está khaleesi la vdd
dani_852,17842408813254678,Cómo hiciste una copia de ti misma
gusanoovich,17932526986010203,Esta hermosa
patycolli,17842410394249581,Esta preciosa
iarasbb,17859683857232479,Felicidades a la preciosa y sus papás tan hermosos que disfruten mucho este día 🤗🤗
