https://www.instagram.com/p/5qQ6ApyAtJ/,hashtags:,#MIARDA
username,comment_id,text
mando.chacon,17852926636040610,@arelypc_ fuck you
arelypc_,17852926585040610,@meemochacon miss you 😢
celia_massa,17852914993040610,Las veces Q tenga oportunidad de verte lo haré me encanta
imnotdiiego,17852903224040610,@_sharellypereira
deniss.landa,17852894062040610,Ok @arturo.ugalde @olbapnogara hecho!! Jajajajajajajaja 😜
cinthyalezamama,17852893954040610,@krofuentes  JAJA
marpreciado,17852889805040610,Tu ***** @gaviota22 yo soy un 😇 caído del cielo
gaviota22,17852889751040610,@marpreciado
luisa.quinones,17852888677040610,"Jajajaja tu cola, solo porque no se puede sino te etiquetabas tú misma jajajaja @lesslierivas"
utrerayazmin,17852886682040610,Maldita @valentina_suaste  jajajaja
javierbrca,17852886634040610,#puerrrrca @abrilbcaamal
aitanamontess,17852886556040610,Jajajajja te odio @airynlimon
karfalafas,17852886508040610,Idiota😂 jajajaja @alan5sos
samjinera,17852886403040610,Zorraaaaaaa @airynlimon
freddy_sanz_,17852885887040610,@david_osoriom jajajaja
airynlimon,17852885836040610,@aitanamontess @samanthajinera
alanaalonzo98,17852885779040610,@karfalafas Jajajajajajajajaja 😂😂😂
gore.tiux,17852885692040610,@angeluz.coba
gore.tiux,17852885683040610,@xumagerchim  jajajajaja
lauraalcoriv,17852885629040610,@naie_ruiz si no fueras miaaarda.  Serias bueba gente entonces ÑO JAJAJAHAHA
itzy_sc,17852885602040610,Tú lo sabes @askingaleks 😎
contraleks,17852885599040610,"@itzy_sc JAJAJAJAJA ""miiaaaarrrrda"""
lesslierivas,17852885590040610,@luisa.quinones
marilolygam,17852885575040610,Jajajajaja @marielescayola ♡
lupitacarob,17852885530040610,@diegocaro17 😂😂
karlaflores93,17852885521040610,Jajajjaa pero si hooooola @josemosquedaa
la_locxdelosgatos,17852885503040610,@mizraim_vazquez  @ricardo.novelocanche 👌😹😹😹😹😹😹😹😹😹👌
majosoliss,17852885500040610,Hola @anakaryna19 😂😂
ayminhg,17852885491040610,Discúlpame Srita @mgmar91 😏😄😄😄
margmtz09,17852885482040610,A mierda yooooo.... Me ofendes yo soy un pan de Dios @ayminhg
diana_mex,17852885479040610,@fariko17
djcarlosalonzo,17852885452040610,@os_carrillo
2woolover,17852885425040610,SIEMPRE @amayrany_rg Y @mariguadalupe27
nataliiramirez,17852885410040610,@uzielmayo
josemosquedaa,17852885407040610,@karlaflores93
itzy_sc,17852885404040610,@javierpedraza28 @askingaleks 😂
marianaortegon14,17852885401040610,@marinne91 @anac_jb @_anaespinosa @pameha @alerdz02 @marielyortegon @andrurdz @marilinvillanueva_ de leeey!
valentina_suaste,17852885392040610,Jajajajaja @utrerayazmin
naie_ruiz,17852885389040610,Jajaja chtm @lauraalcocer29
camilaacalderonr,17852885383040610,Hay te hablan @ivanahurtado28  y @ale_patricia1234
s.b.s.t.n_,17852885380040610,@lea_pacheco 😘
eddylv,17852885377040610,@addydelespinola jajajajaa
abrilbrc,17852885371040610,@javi_caamal
ayminhg,17852885374040610,@mgmar91
lauraalcoriv,17852885368040610,@naie_ruiz @theresajar
itaalex17,17852885365040610,Te llaman @juanjosesw  jajajajajaja
