hashtags:,#humor,#mamás,#comedia
post_url,username,comment_id,comment_text
karlaperegrinaplanetaria,18042612013881685,https://www.instagram.com/p/C7mvNeeMThq/,Jajajaja @yatzaretcastillo 😍
itz.ru,18350100229110924,https://www.instagram.com/p/C7mvNeeMThq/,No tendrá algún grupo de superación personal tu mamá? Me anda urgiendo 🙊
tilasesto,17870955999105464,https://www.instagram.com/p/C7mvNeeMThq/,@itz.ru estas dispuesta a recibir chancletazos?
itz.ru,18038869918754278,https://www.instagram.com/p/C7mvNeeMThq/,"@tilasesto si es para mi más grande bien, si estoy 🙊😂😂😂"
manuel_mirandar,18003155612609842,https://www.instagram.com/p/C7mvNeeMThq/,O sea que tila es tu mamá?? 😂
josealejandro7305,18091856416433534,https://www.instagram.com/p/C7mvNeeMThq/,😂😂😂😂
fide29,18325444516132387,https://www.instagram.com/p/C7mvNeeMThq/,Que bella es tu mamá tila
chicalunar,17961412181768174,https://www.instagram.com/p/C7mvNeeMThq/,Necesitamos un scketch con tu mamá 😍
tilasesto,18057311131620332,https://www.instagram.com/p/C7mvNeeMThq/,"@chicalunar checate Youtube, hay como 20"
chicalunar,17880952230014964,https://www.instagram.com/p/C7mvNeeMThq/,"@tilasesto  chale 😢ya no me salen tus actualizaciones y eso que estoy suscrita a tu canal, ahora mismo voy a verlas 😍"
liz.addiction,18006344669303038,https://www.instagram.com/p/C7mvNeeMThq/,Como que no es un espejo?
dra.anaserrano,18123335458361378,https://www.instagram.com/p/C7mvNeeMThq/,😂😂😂😂😂😂😂😂😂😂
helenakaliope,18109065154379988,https://www.instagram.com/p/C7mvNeeMThq/,😂😂😂 son igualitas 👏👏👏
ana_duran_chong,18027404618122038,https://www.instagram.com/p/C7mvNeeMThq/,"Asiiiii, que diga como 😮😂"
dresqueen1803,17970648881606174,https://www.instagram.com/p/C7mvNeeMThq/,Bum te quemo 😂👏🔥
jesus_martin8,17977344710699348,https://www.instagram.com/p/C7mvNeeMThq/,😂😂😂😂
yatzaretcastillo,18338483809141087,https://www.instagram.com/p/C7mvNeeMThq/,La doña!!!
yatzaretcastillo,18030183866094155,https://www.instagram.com/p/C7mvNeeMThq/,Jajajajaja jajajaja jajajaja jajajaja.
barbarabarrerahernandez,18088240504443959,https://www.instagram.com/p/C7mvNeeMThq/,Que nos de un curso de encontrar millonarios jajajajajaj la ame
