hashtags:,#PRINCESAS,#DISNEY,#COMEDIA
post_url,username,comment_id,comment_text
guillermoquinonesproducer,18438938824000380,https://www.instagram.com/p/C6W6hDhpNsE/,Eres un genio!!!
enkahenka,18018191267198121,https://www.instagram.com/p/C6W6hDhpNsE/,😂😂😂😂😂😂😂😂👏👏👏👏👏👏👏👏
hrotrick,18116176201370888,https://www.instagram.com/p/C6W6hDhpNsE/,👎🏽👎🏽👎🏽👎🏽
tilasesto,17904638045986482,https://www.instagram.com/p/C6W6hDhpNsE/,@hrotrick 🖕🖕🖕
hrotrick,18041086168883532,https://www.instagram.com/p/C6W6hDhpNsE/,"@tilasesto pues con todo y tus 🖕🏼🖕🏼🖕🏼, mira 👎🏽👎🏽👎🏽👎🏽👎🏽👎🏽👎🏽👎🏽👎🏽👎🏽👎🏽. Decadencia de un ""artista"" cuando se cree intocable y libre de critica."
tilasesto,18042648163870029,https://www.instagram.com/p/C6W6hDhpNsE/,@hrotrick jaja ok... pero 🖕🖕🖕🖕🖕
hrotrick,18323562322120353,https://www.instagram.com/p/C6W6hDhpNsE/,@tilasesto jaja OK pero... 👎🏽👎🏽👎🏽👎🏽👎🏽👎🏽👎🏽👎🏽👎🏽👎🏽👎🏽👎🏽👎🏽👎🏽👎🏽👎🏽👎🏽👎🏽👎🏽👎🏽
tilasesto,18033832513967406,https://www.instagram.com/p/C6W6hDhpNsE/,"@hrotrick osea si, pero…. 🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻"
hrotrick,18342476764112763,https://www.instagram.com/p/C6W6hDhpNsE/,"@tilasesto osea si, pero 👎🏽👎🏽👎🏽👎🏽👎🏽👎🏽👎🏽👎🏽👎🏽✊🏼✊🏼✊🏼✊🏼✊🏼✊🏼✊🏼🖕🏼🖕🏼🖕🏼🖕🏼🖕🏼🖕🏼🖕🏼👉🏼👉🏼👉🏼👉🏼👉🏼👌🏼👌🏼👌🏼👌🏼👌🏼🤏🏼🤏🏼🤏🏼🤏🏼🤏🏼🤌🏼🤌🏼🤌🏼🤌🏼🤌🏼"
tilasesto,18062417434509156,https://www.instagram.com/p/C6W6hDhpNsE/,"@hrotrick ey, pero 🖕🏻"
hrotrick,18046273021764157,https://www.instagram.com/p/C6W6hDhpNsE/,"@tilasesto de acuerdo pero, 🍑🍑🍑🍑🍑🥒🥒🥒🥒🥒🍆🍆🍆🍆🍆😗😗🥚🥚"
tilasesto,18154317295313561,https://www.instagram.com/p/C6W6hDhpNsE/,@hrotrick 🖕🏻
hrotrick,18033275081055983,https://www.instagram.com/p/C6W6hDhpNsE/,@tilasesto 👎🏽✊🏼🖕🏼👉🏼👌🏼😗🥚🥚
mxl4ni3_dm1415,18004099115285673,https://www.instagram.com/p/C6W6hDhpNsE/,Jajajaj😂😂
me_gerardito,18004180748280218,https://www.instagram.com/p/C6W6hDhpNsE/,😂😂😂10/10
yadira.cynthia,18209867788304557,https://www.instagram.com/p/C6W6hDhpNsE/,😂😂😂 ... Dónde se están presentando?
