hashtags:,#BombaYucateca,#BLANCAS
post_url,username,comment_id,comment_text
santiago_2013_11,18057280252729333,https://www.instagram.com/p/C8qAY7Xt_Pj/,😂😂
diani_reyes,18304165081090618,https://www.instagram.com/p/C8qAY7Xt_Pj/,😂😂😂😂 solo por eso extraño la península
chidalisaa,18078636700492280,https://www.instagram.com/p/C8qAY7Xt_Pj/,Solo yo no le entendí 😿 épico jajajaja
amelia10946,18148845061317215,https://www.instagram.com/p/C8qAY7Xt_Pj/,👏👏❤️❤️
deflorestere,17979627908563758,https://www.instagram.com/p/C8qAY7Xt_Pj/,JAJAJA
liza_mjuarez,18022824470511535,https://www.instagram.com/p/C8qAY7Xt_Pj/,❤️❤️❤️❤️
dovid.caswell,18024543299221119,https://www.instagram.com/p/C8qAY7Xt_Pj/,@INVERSIONCONDIANA solo quería decir que estoy disfrutando mucho ser parte de su plataforma.❤️🇻🇪🇻🇪🇻🇪🇺🇲🇺🇲🇺🇲
dovid.caswell,17842499112255717,https://www.instagram.com/p/C8qAY7Xt_Pj/,Solo quiero agradecerte por ser un gran jefe. He disfrutado mucho trabajar contigo a lo largo de los años @INVERSIONCONDIANA
