hashtags:,#humor,#comedia,#entrevista
post_url,username,comment_id,comment_text
miriam_garcia_chavez77,18281113237301526,https://www.instagram.com/p/DKAc5kuA5sS/,😂😂😂😂
celiskubertha,18008975006753516,https://www.instagram.com/p/DKAc5kuA5sS/,Jajaja con razón no te dijo de que están hechos te chamaqueo JajajJa.
carmita_ecd,18005948633762238,https://www.instagram.com/p/DKAc5kuA5sS/,😂😂😂😂
