hashtags:,#Katana,#Kendo,#SigueleCabron
post_url,username,comment_id,comment_text
omar_sauri,17860925938151699,https://www.instagram.com/p/BVLQZfqDEu2/,@christopheerp no mames jaja
alex1spg,17884832290058531,https://www.instagram.com/p/BVLQZfqDEu2/,@omar_sauri tu barrio hijo
lulu_castilla,17861228968134288,https://www.instagram.com/p/BVLQZfqDEu2/,Poque no traes a mexico wonder wira ahora que regreses
lulu_castilla,17859457429154680,https://www.instagram.com/p/BVLQZfqDEu2/,Dale duro Tila jaja
untalcanche,17861438854136896,https://www.instagram.com/p/BVLQZfqDEu2/,Solo te falta tu traje amarillo y seria cul vil
holasoy1dinosaurio_,17858034055190204,https://www.instagram.com/p/BVLQZfqDEu2/,Cuando hay funciones @tilasesto #wonderwoman
alijimemez_,17869117174082593,https://www.instagram.com/p/BVLQZfqDEu2/,mejor agarra un machete
victor05_ab,17883811516044398,https://www.instagram.com/p/BVLQZfqDEu2/,Samurai😂 :v
diegx_sunzx,17858287747171545,https://www.instagram.com/p/BVLQZfqDEu2/,Te amo @tilasesto
brisaladepredadora,17858027314190962,https://www.instagram.com/p/BVLQZfqDEu2/,irala
lygiazul,17861637547140699,https://www.instagram.com/p/BVLQZfqDEu2/,Chula
