https://www.instagram.com/p/C_6xgjKpoMP/,hashtags:,#Tilajuice
username,comment_id,text
moniina_romero,18055439743835078,Tilajuice Tilajuice Tilajuice
dalymar22,18051814867883645,Llega a valladolid
ugaldealex.923,18052507714706469,Super! Te extrañamos en Tuxtla Gutiérrez!
addy.chacon,18059172562687141,Genial pero por favor traela a Tuxtla!!! Bueno traelas todas las necesito........
kiriatamay,17940789263887173,@le_pepinoux vamos 😍
