hashtags:,#LasPanucheras,#TotallyFull,#TodoGraciasAlPublico
post_url,username,comment_id,comment_text
alex.pastranaa,17852740906063707,https://www.instagram.com/p/-x4251SAqP/,@maricris.hurtado  ahí estas cuando empiezas a gritar
esmedina06,17848182892063707,https://www.instagram.com/p/-x4251SAqP/,"@fantasia_paez creo que en el palacio,de otra forma a la hora del evento,sera en santos vaia!"
yazuri_tejero,17848054969063707,https://www.instagram.com/p/-x4251SAqP/,@tilasesto
yazuri_tejero,17848054954063707,https://www.instagram.com/p/-x4251SAqP/,¿Donde venden los boletos para Valladolid?
tilasesto,17848047334063707,https://www.instagram.com/p/-x4251SAqP/,Jajajajajaa ya ves por no subir al escenario!!
ghgustavoharry,17848045444063707,https://www.instagram.com/p/-x4251SAqP/,Tila culera me hiciste bullyng en tu show😒😒😒
anapauromeroa,17848044175063707,https://www.instagram.com/p/-x4251SAqP/,A q numero te puedo contratar para una posada !!? 😁
ojedamimi,17848043281063707,https://www.instagram.com/p/-x4251SAqP/,Jajaja
cerveracary,17848042576063707,https://www.instagram.com/p/-x4251SAqP/,Me haces reir  mucho ..gracias
dayapatron,17848028557063707,https://www.instagram.com/p/-x4251SAqP/,@davidgonzalez010
rosado.martin,17848021687063707,https://www.instagram.com/p/-x4251SAqP/,Cuando te vuelves a presentar en Merida? @tilasesto
ingridnovelo07,17847977818063707,https://www.instagram.com/p/-x4251SAqP/,Te has robado el cariño d todos nosotros! Te qeremos.! Tu nobleza SENCILLES y carisma inigualable izo qe te amemos tila! Fue todo un exito la obra! Todooos lo isieron exelente nos fuimos satisfechos y tu t pudist dar cuenta de cuanto cariño t tenemos! Todos t aplaudimos mas aty jajajaja bendiciones para ty mi tila y muchas felicidades! Todoo el eqipo macta nani tu y los 3 personajs mas isieron un buen trabajo! Felicidads mitila te amamos😘
juan_carlos_espartano,17847977332063707,https://www.instagram.com/p/-x4251SAqP/,Por acá nos vemos en cancun !!!
boris_basulto,17847975046063707,https://www.instagram.com/p/-x4251SAqP/,Tienes cara de chostomo hija ja ja ja
mary_medinac,17847974932063707,https://www.instagram.com/p/-x4251SAqP/,Saluditos @tilasesto
mdgz_net,17847964297063707,https://www.instagram.com/p/-x4251SAqP/,Pegame.. un susto @tilasesto jejeje
alvarob_9,17847962695063707,https://www.instagram.com/p/-x4251SAqP/,Cuando subes vídeo @tilasesto ?
esmedina06,17847962173063707,https://www.instagram.com/p/-x4251SAqP/,@tilasesto es verdad que vienes a valladolid!?
