hashtags:,#CDMX,#elcuevonescenaria
post_url,username,comment_id,comment_text
naye72020,18063794465354776,https://www.instagram.com/p/DOly7RTgGSA/,Solo tendrán una fecha en cdmx
tilamariasesto,18426443350105058,https://www.instagram.com/p/DOly7RTgGSA/,"@naye72020 Hasta el momento, sí! No te la puedes perder 😍"
