hashtags:,#OpenMind,#TeRegañoEnYucateco
post_url,username,comment_id,comment_text
cada_noche_finges_un_adios,18023692040320451,https://www.instagram.com/p/C6E4-dSrCuK/,"De que  se quejan 😂 yo ando con un pollo compartido y es casado😂😂😂😂😂😂😂😂😂😂😂😂
Mejor un amor prestado, en lugar de amor propio 😂😂😂😂
Con agua y jabon 🫧🧼🫧🧼 se quitan los mocos de otro cab🐐🐐🐐"
elizabarrm,18043931632703302,https://www.instagram.com/p/C6E4-dSrCuK/,😂😂 Buen consejo jajajaja me encanta ❤️🙌
chio.cr.rdgz,17901845063969293,https://www.instagram.com/p/C6E4-dSrCuK/,😂😂😂😂
amelia10946,17922499775895779,https://www.instagram.com/p/C6E4-dSrCuK/,😂😂😂😂
alee.sanch3z,18115947226364650,https://www.instagram.com/p/C6E4-dSrCuK/,😂
line_th.x,17879176881000550,https://www.instagram.com/p/C6E4-dSrCuK/,🙌
mexicorrosivo,17932402763751465,https://www.instagram.com/p/C6E4-dSrCuK/,Cuanto prejuicio...
ciinaguiilar,18425582722034999,https://www.instagram.com/p/C6E4-dSrCuK/,Jajajjajajajaja ay las amo!
alexisalmeidaseguros,17902119449973259,https://www.instagram.com/p/C6E4-dSrCuK/,JAJAJAJAJAJAJAJAJA
rigoberto_270478,18309629938198943,https://www.instagram.com/p/C6E4-dSrCuK/,Jajajaja por tu culpa tila. Me. Atragante
marycelagallareta,17987296070648715,https://www.instagram.com/p/C6E4-dSrCuK/,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂
