hashtags:,#TheWalkingPeek,#HuayQueEsEso,#TaNegroMiOjo
post_url,username,comment_id,comment_text
elduke.55,17851671280078338,https://www.instagram.com/p/BIlFZXWAhXn/,Muy bonito vídeo y las caracterización que hace
jarcgram,17851129594078338,https://www.instagram.com/p/BIlFZXWAhXn/,Te conocí en #ComoEntenderAUnYucayeco y me pareció genial. Regresa a lo original
jarcgram,17851129537078338,https://www.instagram.com/p/BIlFZXWAhXn/,😕
henrytix,17851122772078338,https://www.instagram.com/p/BIlFZXWAhXn/,Vamos @russelly85
mariterebraga,17851121776078338,https://www.instagram.com/p/BIlFZXWAhXn/,@adya83 no iba manejando estaba de copiloto 😒
alma8777,17851118356078338,https://www.instagram.com/p/BIlFZXWAhXn/,Eres pura desmadre
adya83,17851117075078338,https://www.instagram.com/p/BIlFZXWAhXn/,"Deja de grabar cuando manejas niniaaa , q madre te pasa te voy a dar unos chancletasos!😡💪🏻💪🏻"
