https://www.instagram.com/p/C-lm8LpveBs/,hashtags:,#StandUp
username,comment_id,text
dgs_155,18044065220004227,Cuando GDL??????
javichox_ia,18299701174162591,Cuando cdmx???
aloman12,18450664213040775,Te falta Valladolid ahí
angel_eduardo_nunez,17857054116184644,Cuando vuelves a Valladolid 😭😭
ashy__17,18073359103548722,@hiramdelatorrev
jeffreyquintalmx,17972824010752691,🔥🔥🔥
luisen14_,18035008112314974,NOS VEMOS EN CANCUUUUN
