hashtags:,#perspecTILAs,#humor,#comedia
post_url,username,comment_id,comment_text
manuel_grains,17887634853298931,https://www.instagram.com/p/DLsXsNCM7ER/,"Ya esta de moda, desde  hace 7 años, como de 7 a 9 de la mañana 😂😂😂😂😂"
spirit_wolf_v,18287008738250445,https://www.instagram.com/p/DLsXsNCM7ER/,Asiiii eeees!!
rumbo_art,17924128914097320,https://www.instagram.com/p/DLsXsNCM7ER/,Jajajaja
drgabrielplastic,18090921451631627,https://www.instagram.com/p/DLsXsNCM7ER/,En las calles de Cancún está de moda desde hace rato
carina_laporta,18044606054281153,https://www.instagram.com/p/DLsXsNCM7ER/,😂😂😂😂😂😂
ninashestakova_mua,18062017127231966,https://www.instagram.com/p/DLsXsNCM7ER/,Ya está 😂
jolie_lmonterde,17913085815117634,https://www.instagram.com/p/DLsXsNCM7ER/,Jajajja
_monse.gg,17911430907159262,https://www.instagram.com/p/DLsXsNCM7ER/,Nmms Jaziel 😂
tovi_gonzalez____,18050157455607192,https://www.instagram.com/p/DLsXsNCM7ER/,"@_monse.gg no mamo, tomo en vaso"
marydaysbirulon,18051877520578626,https://www.instagram.com/p/DLsXsNCM7ER/,😂😂😂😂😂
dnnancy,18514134019019267,https://www.instagram.com/p/DLsXsNCM7ER/,Y yo así de: “es mi momento” 😌😌😌
alfredcruz77,18073976705498612,https://www.instagram.com/p/DLsXsNCM7ER/,"Ya te vi tila, ser famosa"
josejimenezbx,18491550592071771,https://www.instagram.com/p/DLsXsNCM7ER/,@tefyssc @humberto_5322 @cris30_0410 @sofiaaa_fs @la_pavita_564 @nao._.g1 ustedes we 🤣🤣🤣
tu_papa_52,17958101708953629,https://www.instagram.com/p/DLsXsNCM7ER/,pero si achu
humberto_5322,18085904350687622,https://www.instagram.com/p/DLsXsNCM7ER/,@josejimenezbx pero si hola 😼
tefys_serena,18163298899360096,https://www.instagram.com/p/DLsXsNCM7ER/,@josejimenezbx JAJAJAAJAAJA VT alv jose😑
tovi_gonzalez____,18147405514389880,https://www.instagram.com/p/DLsXsNCM7ER/,@_monse.gg @gorettii_54 @gregorio_emmanuel_11 @lincy_ca @leslie_reynoso09 @thx.afrss_  ustedes we jajaja 😂
greg_emm_schz_dlt_11_,18282465124256325,https://www.instagram.com/p/DLsXsNCM7ER/,@tovi_gonzalez___ jajaja
leslie_reynoso09,18013934177735421,https://www.instagram.com/p/DLsXsNCM7ER/,@tovi_gonzalez___ faltaste tu wey también eres del club 🤣
tovi_gonzalez____,17973498053863640,https://www.instagram.com/p/DLsXsNCM7ER/,@leslie_reynoso09 ora ora 😂
boris_basulto,18068556767024790,https://www.instagram.com/p/DLsXsNCM7ER/,Abusados @carlos_villanueva2378 @djmikecero @luiscanto63  ja ja ja ja
