hashtags:,#humor,#comedia,#filtro
post_url,username,comment_id,comment_text
alejandrachicas_54,18139515865397158,https://www.instagram.com/p/DKXoDUXhVlk/,Soy fan! Un saludo grande!🙌
pattyamarillo,18101040028536628,https://www.instagram.com/p/DKXoDUXhVlk/,Yoooo las adorooooo ❤️
jovi.ruiz.3,18080425930749961,https://www.instagram.com/p/DKXoDUXhVlk/,❤️❤️❤️
annemiss34,17967845216911503,https://www.instagram.com/p/DKXoDUXhVlk/,Que guapa 👏👏
gloria_______f,18060000391956731,https://www.instagram.com/p/DKXoDUXhVlk/,doña Tila 👏
