hashtags:,#humor,#comedia,#mujeres
post_url,username,comment_id,comment_text
giocituk,18054441728598286,https://www.instagram.com/p/DLdyuNNvYCt/,😂😂😂😂😂😂
cruzmazariel,18091082449653237,https://www.instagram.com/p/DLdyuNNvYCt/,😂😂
esquivelguadalupe32,17866062165413280,https://www.instagram.com/p/DLdyuNNvYCt/,😂😂😂😂👏👏👏👏
amelia10946,18048984890573007,https://www.instagram.com/p/DLdyuNNvYCt/,😂😂😂😂
aarones_pat92,17951738219976052,https://www.instagram.com/p/DLdyuNNvYCt/,Jaajjajaja o pateas el colchón de la cama
