hashtags:,#ComprasDePanico,#HURACAN
post_url,username,comment_id,comment_text
noemyjanee,18065542180568102,https://www.instagram.com/p/C9AhnrxTujy/,Final inesperado 😂🤣
amelia10946,18345226444191044,https://www.instagram.com/p/C9AhnrxTujy/,😂😂
zcool008,18025164872239247,https://www.instagram.com/p/C9AhnrxTujy/,!Pá-sumecha marima! 😂😂😂😂😂😂😂😂 😂😂😂😂😂😂😂
marthaag16,18074156251513646,https://www.instagram.com/p/C9AhnrxTujy/,@adritavargas
noemig039,18026821385173601,https://www.instagram.com/p/C9AhnrxTujy/,😂😂😂😂
jorgitoberzunza,17887116867060206,https://www.instagram.com/p/C9AhnrxTujy/,Te la chupo? 😂😂😂😂
lindura116,18057430630718189,https://www.instagram.com/p/C9AhnrxTujy/,😂😂
virimariscala,18011158124265990,https://www.instagram.com/p/C9AhnrxTujy/,Al menos compra atún enlatado tal vez t dure la semana ahí solo no compres galletas saladas o se acabó también...😮
helenakaliope,18070612303541764,https://www.instagram.com/p/C9AhnrxTujy/,😂😂😂
chefuziel,18065698477506420,https://www.instagram.com/p/C9AhnrxTujy/,Si estás viendo que está Flako con una chupada diario lo vas a dejar seco seco ajajjaj
albertofernandez2304,17848102683224470,https://www.instagram.com/p/C9AhnrxTujy/,Ese video es del COVID cuando la cuarentena
marycelagallareta,18032004239504329,https://www.instagram.com/p/C9AhnrxTujy/,😂😂😂😂😂😂😂😂😂😂😂
sergeioserov,17893398323962724,https://www.instagram.com/p/C9AhnrxTujy/,😂😂😂😂😂😂😂
josealejandro7305,17992471667653998,https://www.instagram.com/p/C9AhnrxTujy/,😂😂😂😂😂
carmita_ecd,18064678807577154,https://www.instagram.com/p/C9AhnrxTujy/,
carmita_ecd,18030465056133296,https://www.instagram.com/p/C9AhnrxTujy/,Agarrate bien comadre que ahi viene el Huracán ninea!!!!!
gelmy_77,17883882237074172,https://www.instagram.com/p/C9AhnrxTujy/,😂
cruzlunetita,17890673055051867,https://www.instagram.com/p/C9AhnrxTujy/,😂😂😂😂 igualitos que mis hijos jajaa cuando el covid
jessicacarrilloesquivel,17996909573482336,https://www.instagram.com/p/C9AhnrxTujy/,😂😂😂
leov.elz,18034286003000710,https://www.instagram.com/p/C9AhnrxTujy/,Dios te guarde corazón ❤️
txnrgra,17953029701800090,https://www.instagram.com/p/C9AhnrxTujy/,😂😂
