hashtags:,#SinElNoHayYo,#TeAmoTeOdio
post_url,username,comment_id,comment_text
jnmonymk,18046359607264194,https://www.instagram.com/p/BQTw4tmgtWA/,💐👏👏👏👏👏
saramoguels,17859587215092671,https://www.instagram.com/p/BQTw4tmgtWA/,feliz cumple tila rayo de sol
yuyislc,17871304957013401,https://www.instagram.com/p/BQTw4tmgtWA/,Muchas felicidades @ozdan_
manuelluismoolopez,17849594737146826,https://www.instagram.com/p/BQTw4tmgtWA/,felicidades tila que cumplas muchos mas
isauraperezg,17848873183155619,https://www.instagram.com/p/BQTw4tmgtWA/,"Muchas felicidades Tila, te amo ❤"
leticia_moguel,17863047568075455,https://www.instagram.com/p/BQTw4tmgtWA/,Q siiii 32??? 😂😂😂
rositaestrella3511,17860918357099624,https://www.instagram.com/p/BQTw4tmgtWA/,Muchas felicidades y bendiciones que sigas teniendo éxito en lo que haces.. Te admiro mucho y a tila woo me encanta...
cinthyachacon.c,17849505571144836,https://www.instagram.com/p/BQTw4tmgtWA/,JAJAJA que bonito! No sabía que fue tu cumple ayer. Y te ví en el teatro pero me dió pena acercarme a saludar 🙊 feliz cumpleaños!!!! 😊😊😊
dinohmiranda,17850618988140060,https://www.instagram.com/p/BQTw4tmgtWA/,No mames que es eso? Y mi tila querida? Jajajaja felicidades don tilo pitito :*
chorypeet,17860998970110184,https://www.instagram.com/p/BQTw4tmgtWA/,Espero que te la pases chidooo felicidades... Un beso en tu culoooooo😂😂😂😂😂😂
rodriguezleslye,17860395115123946,https://www.instagram.com/p/BQTw4tmgtWA/,Muchas felicidades y bendiciones y que sigan los éxitos en tu vida y que disfrutes de toda tu familia y amigos que te quieren
frany.rincon,17860935049099090,https://www.instagram.com/p/BQTw4tmgtWA/,Muchas Felicidades.. Muchas bendiciones y cosas lindas en tu vida...como tila te admiro mucho... Que su gas disfrutando tu cumple.....🎁🎂en un día feliz🎶
noemialcocerm,17872742395010085,https://www.instagram.com/p/BQTw4tmgtWA/,Hola oscar muchas felicidades y que sigas cosechando muchos exitos pero lo mas importante nunca pierdas la humildad que te caracteriza de ser un yucateco te admiro espero puedas leer mi comentario sabes un dia me tome una foto en teatro contigo como oscar me encanto y la forma como me trataste soy una señora de casi sesenta años pero eso no fue importante para ti porque posaste tal cual eres. Una persona muy linda dios te bendiga
vickteria,17871764371004700,https://www.instagram.com/p/BQTw4tmgtWA/,Felicidades!!!! Gracias por llenar la vida de risa y escándalo!!! Buena vibra
ayminhg,17859280399084181,https://www.instagram.com/p/BQTw4tmgtWA/,"Feliz cumpleaños corazón, que diosito te siga bendiciendo todos los días, que te siga dando demasiada imaginación para que nos sigas divirtiendo por muchos años más, cuídate y disfruta a la familia 👍🏻"
tellotrouble,17871715570062203,https://www.instagram.com/p/BQTw4tmgtWA/,Cumplimos el mismo día OMG
isacortes05,17871671821061716,https://www.instagram.com/p/BQTw4tmgtWA/,Muchísimas felicidades...bendiciones
rosa.lopez250175,17871774259015647,https://www.instagram.com/p/BQTw4tmgtWA/,Muchas felicidades  y que sigan los exitos
yessi_martinez_a_,17859332200087635,https://www.instagram.com/p/BQTw4tmgtWA/,Asi es que vengan muchos exitos para ty y que sigas festejando tu cumple al 100% pero me invitas ehhh ... Felizidades ... 🎂
_victordavilajuarez,17849394139151521,https://www.instagram.com/p/BQTw4tmgtWA/,Felicitaciones 🎉🍺
maria.osirisx,17871488353011036,https://www.instagram.com/p/BQTw4tmgtWA/,Felicidades bendiciones sigue así
rushito8169,17872124041008555,https://www.instagram.com/p/BQTw4tmgtWA/,Muchas felicidades.
mikymendozza,17860871647112370,https://www.instagram.com/p/BQTw4tmgtWA/,👍
lunamaiagomezhernandez,17871974821013728,https://www.instagram.com/p/BQTw4tmgtWA/,Felicidades. 🍰🎁🎁🎁🎁🎁🎂🍰🎁🎂🎁🍰🎁🎂🍰🍰🎁🎂
miacaramelle,17848832950175660,https://www.instagram.com/p/BQTw4tmgtWA/,Muchísimas Felicidades!!!! Eres lo máximo en vdd de lo mejor hay poca gente me hace reír como tú.
