hashtags:,#humor,#comedia,#rebozo
post_url,username,comment_id,comment_text
judithsalazar7327,18080917360843331,https://www.instagram.com/p/DLYG1xYtlUM/,T# amo ❤️desde Japón ❣️❣️❣️💋😊😊
demodofokers,18067340060116186,https://www.instagram.com/p/DLYG1xYtlUM/,Me recordó a la nana mágica 😂😂😂😂
puppy_pals_222,17969575316761034,https://www.instagram.com/p/DLYG1xYtlUM/,Me recordó a la bufanda mágica
demodofokers,18067543783874090,https://www.instagram.com/p/DLYG1xYtlUM/,No me sale como comunicarme para un evento solo me sale tu link para seguirte en tu grupo de wthaps 😢
