https://www.instagram.com/p/6vzb3wyAtW/,hashtags:,#PorqueLosHuirosAmanALasCabronas
username,comment_id,text
ingridnovelo07,17852925415040610,Qiero verles juntos!! Son unos exelents actores y comediants
ingridnovelo07,17852925412040610,"@tilasesto  as un show en el teatro qn nani,macta y taco de ojo! Paq sea una bomba!!"
carlaquintal,17852924629040610,La ameeeeeee
tilasesto,17852923936040610,Jajajaja ya le diste en la madre a Nani jajajajaa
johannap_v,17852923894040610,Macta😍❤️
chibikkoarts,17852923837040610,Lin Mey y Mello Colli? <.< que privilegios gozan esos dos para compartir el escenario contigo?
