https://www.instagram.com/p/DS0KITLk62A/,hashtags:,#Mérida‼️
username,comment_id,text
jass_gm_,17969345258993674,Próximamente el 2 de enero te veré 🤩
tilasesto,17935478369997122,"@jass_gm_ ya estás chula, disfrútalo mucho!"
luliherrerap,18085182848114527,Me perdí esa foto 🥲 fui a la función de las seis 🥲
tilasesto,18031105514772755,@luliherrerap tendrás que volver a ir pa salir en la siguiente!!
luliherrerap,17873434296477064,@tilasesto SIIIIÍ
mirleypalmero,18149096533440012,😍
abrahammaycanche,17870694678500952,👏
