hashtags:,#ciruela,#antojo
post_url,username,comment_id,comment_text
helenakaliope,17964560567916265,https://www.instagram.com/p/DKUusnUvxW6/,Nunca he probado eso pero se ve delicioso
arelylefo,18065996078085869,https://www.instagram.com/p/DKUusnUvxW6/,Suuuuuuptm se me hizo agua la boca 🤤 😂😂😂 lo bueno es que ya había comprado así que a comer se a dicho 😋😋😋😋😋
mayxulita,18064764703886657,https://www.instagram.com/p/DKUusnUvxW6/,Yucatán por siempre en mi corazón ❤️🙌 🤤🤤🤤mándame una bolsa
sinai_godinez,18010422770573429,https://www.instagram.com/p/DKUusnUvxW6/,"Te pasas...ya se me antojó 😂😂😂😂😂, saludos desde el Puerto de Veracruz 🌷😘"
wuimatt,18090764689616696,https://www.instagram.com/p/DKUusnUvxW6/,Acá no llegan de esas !! Cuanta crueldad !!! 😢😢😢
alinasalazarg,18042283211252545,https://www.instagram.com/p/DKUusnUvxW6/,Se me hizo agua la boca!! 😮
rosperezhdez,18034570415370557,https://www.instagram.com/p/DKUusnUvxW6/,🤤🤤🤤🤤🤤🤤
majomexico,17933290008025056,https://www.instagram.com/p/DKUusnUvxW6/,Ya me heché las mías con un montón de chile
annemiss34,17950109270843912,https://www.instagram.com/p/DKUusnUvxW6/,En serio??????? Ni gestos haces. Admirable!!!!!!
gloriacastillogonz,18065937581099007,https://www.instagram.com/p/DKUusnUvxW6/,😋😋🤤🤤🤤🤤🤤🤤
the_gm_orlando,18032863520650436,https://www.instagram.com/p/DKUusnUvxW6/,Por su culpa ora tengo q ir al cerro por ciruelas 🥲🤤🤤
carmita_ecd,18145419466389293,https://www.instagram.com/p/DKUusnUvxW6/,Ay! Que rico!!! 👏👏👏👏
amelia10946,17879136351221104,https://www.instagram.com/p/DKUusnUvxW6/,👏👏
kaia2703,18047757884419325,https://www.instagram.com/p/DKUusnUvxW6/,"Pelanaaaaaaa, 1d10t4444444!!!! Tu video me salió a las 3 de la mañana 😭🫠. Se me hizo agua la boca 🤤🤤🤤🤤"
limagana,18145236337384476,https://www.instagram.com/p/DKUusnUvxW6/,Seten ma’alob 😍
jul4565,17961344690929445,https://www.instagram.com/p/DKUusnUvxW6/,Jejeje
imnot_jonylove,17902449903193310,https://www.instagram.com/p/DKUusnUvxW6/,"Esa mirada fria y distante me dio mucho miedo,creo que no podré dormir 💔🔥"
kitiaguilar,18090576397720558,https://www.instagram.com/p/DKUusnUvxW6/,No antojes tila
jul4565,17900721156086392,https://www.instagram.com/p/DKUusnUvxW6/,Mala me aguaste la boca
yadury.sanchez,17875444311357934,https://www.instagram.com/p/DKUusnUvxW6/,Pinche @tilasesto 🥹😝😛 se me antojaron 🥲
