hashtags:,#Las50SombrasDeTila,#StandUp
post_url,username,comment_id,comment_text
jaquimartin23,17895123459155836,https://www.instagram.com/p/DFsqRl7KOiK/,@kikebarahona  vamos
jesus_santos12y,18311848636202014,https://www.instagram.com/p/DFsqRl7KOiK/,Y para Valladolid?
papimaloworld,18054632645485671,https://www.instagram.com/p/DFsqRl7KOiK/,Quizás vaya a Mérida para esas fecha
