hashtags:,#Morralla.,#LaUniónHaceLaDespensa,#pesoapeso
post_url,username,comment_id,comment_text
ross_rox_roll,17866647449566299,https://www.instagram.com/p/CVOP3xLLpaB/,😂😂
ivancruz2364,17874432293589717,https://www.instagram.com/p/CVOP3xLLpaB/,"Dígale a bodega aurrera que le suba un poco más, pero a su aire acondicionado.. 😂"
sandraivettepadillarivera,17926957492864459,https://www.instagram.com/p/CVOP3xLLpaB/,En que bodega estabas ninia?
pilycastanedamedina,17925696865882600,https://www.instagram.com/p/CVOP3xLLpaB/,😂😂
cusco.mx,17934284800733966,https://www.instagram.com/p/CVOP3xLLpaB/,"Normalmente la publicidad es de lo peor en las redes, pero es imposible no reírse con @tilasesto en ese carrito😂😂"
rodriguezali22,17913532340079713,https://www.instagram.com/p/CVOP3xLLpaB/,😮😮 claro que iremos a bodega a comprar
veromendozaibanez,18261189943002341,https://www.instagram.com/p/CVOP3xLLpaB/,😂😂😂😂😂 que lindaaaa
tilasesto,17926682746758046,https://www.instagram.com/p/CVOP3xLLpaB/,@veromendozaibanez lo se 😅
torres_fer145,17960849233498023,https://www.instagram.com/p/CVOP3xLLpaB/,mi duda es como se bajo del carrito? 🤔
tilasesto,17866246364570074,https://www.instagram.com/p/CVOP3xLLpaB/,@julio_cetz_ aqui sigo
_paoarana,18259500223019379,https://www.instagram.com/p/CVOP3xLLpaB/,que preciosa @mariterebraga 🤭💙
tilasesto,17957085637511501,https://www.instagram.com/p/CVOP3xLLpaB/,@_paoarana gracias por la exclusion
_paoarana,17903066393262263,https://www.instagram.com/p/CVOP3xLLpaB/,@tilasesto no es exclusión es que tu sabes que eres la mestiza de mi corazón💙😍
