https://www.instagram.com/p/CsXpWXlu6JO/,hashtags:,#65AñosdeAhorro
username,comment_id,text
cetinalourdes,18069393415373608,Y yo desperdiciando las bolsitas de té
celiavila8987,17918362499648097,Gracias  por la sugerencia @tilasesto  lo voy a poner en práctica
hotarumiura,17902206380718665,"Tila, llevame contigo de compras al Aurrera 🙏🙏🙏🙏"
angiemx162,18023660161546933,Me acabo de chutar un comercial y me gustó 😂 lo del te no lo sabía y yo de babosa tirando mi bolsita 😂
maria_zamora74,18011758903624937,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂
laura.danilus2,18093415420335042,Te amamos tila❤️
tilasesto,17966278229437204,@karol_g_296 🥰🥰🥰
clau_roblesf,17955320837564384,Me encantó el comercial ❤️❤️❤️❤️
dagoberto.flores.509994,18012615958618496,Me encantó tu espectáculo el monólogo de la chancleta muchas felicidades saludos desde escarcega campeche
tilasesto,18019085164565625,"@dagoberto.flores.509994 muchas gracias, se puso increible en escarcega 😊"
dzipona,18222232297175900,¿Cómo sabes que mi frente queda brillosa a las dos de la tarde? 🥺
tilasesto,17994278104921664,"@denalidelmar por que brillas, y brillas tan lindi, y brillamos juntos"
rcutler1203,17998713370842406,@tilasesto Lo que hace uno para poder tragar cuando ya tu carrera de comediante se esta yendo para abajo por que ya no hay a quien copiarle los chistes 🤣
tilasesto,17976778922324972,@rcutler1203 lo que escribe uno cuando loa anabolicos aparte de encogerte el pito ya te dejaron todo pndjo 🤣🤣
rcutler1203,18007435675665978,"@tilasesto aceptalo, no das risa, ni fueras nadie gracias a melo 🤣 tas igual que el chino fernandez ridiculeses y estupideces tienen que hacer para ganar unos likes 🤣🤣🤣 ustedes 2 nunca van a representar a la comedia yucateca JAAAAAAAMAS 🤣"
tilasesto,17989734413004414,@rcutler1203 uuy si se dolió al pitochico 😂😂 ahora dilo sin llorar 🤪
rcutler1203,17850149108977653,@tilasesto aceptalo eres una b@sur@ jajaja me peloteas toda v…  tu solito 🤣
alexrosas23,17988731087001644,"Jaja que buen video, saludos desd Santa Ana Jilotzingo estado de México"
castillon_aleyda,17976626729499049,😂😂😂
ligiavelazquez_5,18186347926262819,😂😂
madiilima,17987309639065724,Ame jajaja más brilloso que tú frente a las 2 de la tarde xD
