hashtags:,#consejo,#Tilatip
post_url,username,comment_id,comment_text
lorena_alcocer,18016831792762862,https://www.instagram.com/p/CxJMMLiLiNA/,😂
lucilakarinacoronagarcia,17931342041650105,https://www.instagram.com/p/CxJMMLiLiNA/,😂😂😂😂😂😂😂👏👏👏👏
karminhaperez,18072352054409238,https://www.instagram.com/p/CxJMMLiLiNA/,
lagartijodave,17967940193616651,https://www.instagram.com/p/CxJMMLiLiNA/,😂😂😂😂😂
adiesirbhb,17972755643352428,https://www.instagram.com/p/CxJMMLiLiNA/,😂😂😂😂
maricello_m,17876501876957664,https://www.instagram.com/p/CxJMMLiLiNA/,"Creo que no entendí, tal vez sea mejor así 😬"
