https://www.instagram.com/p/BJsIf6Ig_Oa/,hashtags:,#EstupidaMiHipilidiota
username,comment_id,text
caroescobedo,17851472944128871,Tarde en contestar @natyafb ??? Jejejejej podemos ir aún !??
ljoserodolfo,17851258030128871,Q sexy me exitas jajajaja
mariarlopez12,17851189849128871,Jajajaja esa cara de wtf y mi wipil !!! Jajajaja
faba13,17851159552128871,@natyafb vamos jajaja
natyafb,17851157068128871,Cuando es? @tilasesto vamos @caroescobedo @faba13
minevall,17851152958128871,Iré
angela_pexoxa,17851146334128871,:o
danieelasanchez,17851142341128871,@iliaguierre
aleeperezp,17851132126128871,@thececicampos  estupida cuando vamos idiota
quiquesanchezmx,17851128118128871,@andysaanchez8
