https://www.instagram.com/p/CiTeVMyDF3z/,hashtags:,#sinalbur
username,comment_id,text
y0zi,17992781638591031,😂 😂😂
teresitacastilloaguilar,17964324365015859,Tu pirixxx
alecaspe,17981581501718290,@lolmx_oficial
vhidalgojimenez,17924709899457128,Hola
isabel_robled,17954441597080023,❤️besos en tu cu…l..
tamikitosan,17884830119659456,Debhaile
gabitorin,17919990491597512,😂😂😂
esmeviba,18223557100198481,Se nota que no vez mucho a yerimua maquillandose jajaja... el rubor no se pone ahí neneeeee jajejeje.. abrazos
esmeviba,17959583551956277,Jajaja que culeraaaa 😂
itz_dcv,17975494570727085,😍 jajajaja me encantan tus videos 😍
viryvelazquez29,17971744849790577,Te maquillas mejor que yo
sandramh1023,17960313787947109,Eso es tila
sandramh1023,17959129276955740,Mi respeto para ti Jajaj
fer.capu,17957678081001632,"""Practicacion"" Ja ja ja ja ja"
yenifer_sonrie_siempre,18055807546337247,quitaste un rojito en sombras y te pusiste un negro en sima :(
yenifer_sonrie_siempre,17976581155657904,😂😂😂😂❤️❤️❤️
areesalaszar,18316523503019829,Love you 😍
gennybgangulo,18290379469074205,"Me cae super bien, Saludos"
guada4077,18052255135345227,Jjajajjajaa la neta toda la razón
guada4077,18317957512035135,Me Encantan...tu y wendy hacen mi dia😆😀
makeupnomatterwhat,17975537533709407,Tila beauty influencer!!!! 🤩🤩🤩
daukarime9,17963613190799810,Saludos desde Cancún.
margarethmorenotzuc,17843893208847617,Aunque sin luz se ve mas blanco un ojo
castillodianaz,17984512549600830,👏
empresaria.privada,18023319421413813,❤️❤️🔥
medina8000,17919603761494850,👏👏👏👏👏👏🙌🙌🙌🙌🙌🙌
medina8000,17981787373569029,❤️❤️❤️❤️❤️❤️❤️❤️
medina8000,18317777962021984,Exito
medina8000,17969322928836749,Mucho exito tila
mlydiasaga,17857554068782161,Vengan a Mty
pao_varguez,18012676636451849,Te maquillas mejor que yo tilaaaa 👏
medina8000,17974559026688667,👏👏👏👏👏
anaistyle,17951701157109904,"Saludos tila, soy la amargada de anoche de la remachadora jajaa te adoro"
jovi.ruiz.3,17934542858426349,❤️
fabybolio_eventos,17931685439329577,😍😍
n_g_l_v,18230319640149417,👏 saludos desde Campeche
abdiaslopezbautista,17853171758818560,saludos desde Escárcega Campeche 🙌
pcapolis,17967235474860104,😂😂😂😂😂
ochoamij,17909890205529555,Dame agua
dianaariastorrres,17943906080333645,Hay me encanta jaja! 👏
serafinavarguez,17936151077254263,🙌
viari2828,17956052111047276,Tilita ya invierte en una peluca… está para el perro 😂
ciinaguiilar,17940059717469273,Jajajajajajajajaja riiiiiiidiiiiculaaaa jajajajaja ay Tila ya tenía rato q no te escuchaba.  como me has hecho reír!!! ❤️
ecludfreyre,18226570615156122,Esa peluca ya está …
elikc70,17868873143731260,❤️
dj_chepo12,17939742752343269,😂😂😂😂😂😂
dj_chepo12,18054855064341549,👏👏👏👏👏👏
carolinaesparza69,17983803838726598,No sorprende todo de ti y la gran trayectoria que tienes la parte de Tila que representa es lo que en canta aparte eres una parte que las mujeres tienen guardado
maantonietamartinez,17903955998578754,Me encantas tila eres lo máximo y tere igual son únicos 🙏🏼🙏🏼🙏🏼🙏🏼
carolinaesparza69,17966015482746909,Te quiero mucho Tila me encanta
carolinaesparza69,17959806712863520,❤️❤️❤️❤️
lilycosita,17938465322343145,@lasmamaspresentan una invitada de 💯
rafaelmarquez4575,17972539000656408,Saludos desde cancún cantina roo
rosario.chan.hu,17945899532234122,😂😂😂
amorpara1,17959652476949711,Me gustaría saber la marca de maquillaje 🤔
marykler810,17958987247973287,😍😍😍
fridaramirez89,17954681192039789,❤️😍
santiagomexcen,17981460313564685,😂😂😂😝👍
emyvela,17903485115644977,A perris usas sesderma mamona tu muy bien usando productos dermatológicos de calidad 💅🏻💁🏻‍♀️
