hashtags:,#mujeres,#comedia,#investigación
post_url,username,comment_id,comment_text
akelivieth,17962712096724243,https://www.instagram.com/p/C46wPAEo11V/,JAJAJS PERO YA VIERON SUS PELUCHES DETRÁS DE ELLA ?
liliana4250,17902573283958837,https://www.instagram.com/p/C46wPAEo11V/,😂😂😂Te amo siempre me sacas unas risas gracias
jorgelixir,17920614554792613,https://www.instagram.com/p/C46wPAEo11V/,También los hombres 😢
patrick_680317,18029237857943331,https://www.instagram.com/p/C46wPAEo11V/,😂😂😂😂😂😂😂
levela6006,17923650221779716,https://www.instagram.com/p/C46wPAEo11V/,😂😂😂😂😂
liliana_ruiz.2104,18070971412491102,https://www.instagram.com/p/C46wPAEo11V/,Si es 😂
escobedoedith24,17941123427698324,https://www.instagram.com/p/C46wPAEo11V/,Jajajajjajajaa
rommieel_fit,17851149807161439,https://www.instagram.com/p/C46wPAEo11V/,Uno dijo 😂😂😂😂😂😂 unoooo 😂😂😂😂😂😂😂😂😂😂😂😂😂😂 a que hora me tocó vivir 80 vidas en una 😂
helenakaliope,17881152834031992,https://www.instagram.com/p/C46wPAEo11V/,😂😂😂
