https://www.instagram.com/p/DCrWblyJcF6/,hashtags:,#tuawards
username,comment_id,text
gali.ndo671,18055400314752224,Que precioso esta el terno
dirtamorales,18266925271249663,Guapísima
sauuantonio,17952853130850465,"Bien ahí turbo ruka, solo lo me vayas a arrancar los 🥚s jajaja"
amelia10946,18146424343347995,😍😍👏👏Hermoso Terno 😘😘
maria.larab.3,18330609538146081,Hermoso terno ❤️
elsieyola,17892690420038106,Que guapas
paaco_maldonado,18008168420654388,Ya te reconciliaste con el chino?
jaqueline_vargas08,18125770126388304,Las más comadres❤️
jenniferridriguezvargas04,18030254870166491,❤️
gustavocajum,18052872694784865,Que pedo con xochil jajaja
sandycm31132022,18054789064923451,Felicidades 👏
angierochavelazque,17977411055641563,Es una belleza tu terno 🔥
manu.chavez.35,17859264567295414,Tu terno😍!!
martharodriguezc1,17975057882652717,Excelente
mariadivinnah,18043811059930633,tan graciosas 💗
ros_varguez,18089265748512624,El terno 🔥 uff
pootmota,18007444790497954,Yo ame el terno que orgullo  el representarnos en la feria xmatkuil muchas felicidades
jozef_lara,18304079770200970,👏👏👏
josscitam,17862826182269933,Amé tu terno 🙌👏
pilar_caballero18,18303299140204965,"Que maravilla que estés teniendo éxitos, de corazón espero tengas muchos más y que todo lo que este año tenga para sorprenderte esté lleno de grandes bendiciones ❤️, eres una chingonada 👏🏻"
