https://www.instagram.com/p/BNw1yPRA2s8/,hashtags:,#CorreLaVoz
username,comment_id,text
soyandrreaa,17845913014136633,Deberían de invitar a tina tuyub
perlacbcol,17846646391132016,Todas a Colima urge!!!!!
frayko_ek,17855473468082147,Hagan una función en fin de semana @tilasesto 😭💔
soluc11,17866158235009157,"Son un desmadre, pero me encantó, no pare de reír, gracias 😅😅😅"
lilly_canche,17860569466067864,"Excelente la función de ayer, excelente!!!"
adrianacantogtz,17866688236000083,Jajaja luu @lilly_canche
conchaclaudia,17855417116089179,"Excelentes todaaaaas, eres un genio mis respetos, morí de risa. Todo el éxito y bendiciones infinitas. Adoro a  Chepita. Soy su fan"
angiie.chii,17866457635005603,Yo asisti y la verdad me diverti mucho @tilasesto
