hashtags:,#casita,#fblifestyle
post_url,username,comment_id,comment_text
cuartas7378,18367712644196298,https://www.instagram.com/p/DOJtZRKj5jO/,😂😂😂😂
karifg96,18069880603904045,https://www.instagram.com/p/DOJtZRKj5jO/,😂😂
