https://www.instagram.com/p/CUyRPz3r8cR/,hashtags:,#juegodelcalamar
username,comment_id,text
celina.zaal,17926034335851357,👏😂
marigel_gp,17931435622742754,😂😂😂😂😂👏👏👏
tigreazul_958,17884786826437057,😂😂😂😂😂😂😂😂
eldda_n_puertto,18259364185022609,Tremendo chamorro tila ☺️
lily_hayded,17950054069537647,🔥👏👏👏👏👏👏
lsosar,17890929476336302,Sobretodo si se te sale tu webo
sanjuanparaiso2020,17866953947554699,🙌❤️
mariterebraga,17896225250261775,Tasha soy tu fan!!! Preséntame a Tayron
alicia_1407,17905679768301811,Si da miedo @tilasesto  por favor gobierna te 🔥
alicia_1407,18108898516262813,Si da mas
adrianjaffetc,17903284946244909,"Backyardigans ""la venganza de Tasha"""
