hashtags:,#meridayucatan,#trenmaya,#fyp
post_url,username,comment_id,comment_text
ginn_amaya,18140076502460926,https://www.instagram.com/p/DSBErLbkZju/,Se ve todo Lindi
ferprezc,18098318180506014,https://www.instagram.com/p/DSBErLbkZju/,Quiero irrrr!!!
ginn_amaya,18048381875692929,https://www.instagram.com/p/DSBErLbkZju/,"Ya cambió mucho en un año, hace un año no había muchas tiendas"
roberto_bp15,18173271442374261,https://www.instagram.com/p/DSBErLbkZju/,Ya se vendió el compa
armandocasillas_,17897879628351307,https://www.instagram.com/p/DSBErLbkZju/,Vete a la mierdaaaaa
juanma7203,18088622302976633,https://www.instagram.com/p/DSBErLbkZju/,Cuanto dinero tirado a la basura.Pobre país
