hashtags:,#entrevista,#comediahumor,#viral
post_url,username,comment_id,comment_text
ginn_amaya,17959583690906797,https://www.instagram.com/p/DH9OW9VSJjQ/,Creí que no te había subido
edificiosmayas,17909496213012429,https://www.instagram.com/p/DH9OW9VSJjQ/,@ginn_amaya claro que me subí!
ginn_amaya,18062935817001935,https://www.instagram.com/p/DH9OW9VSJjQ/,Te subestimé jajaja
edificiosmayas,18085885906553167,https://www.instagram.com/p/DH9OW9VSJjQ/,@ginn_amaya jajajajaajajajaja
