hashtags:,#foodie,#meridayucatan,#fyp
post_url,username,comment_id,comment_text
ginn_amaya,18399469615127847,https://www.instagram.com/p/DSEGoo3jNGf/,Yo quieroooo
ginn_amaya,17914676748097393,https://www.instagram.com/p/DSEGoo3jNGf/,No manches ese rol!!!!❤️
dariana.aglez,17936479818107032,https://www.instagram.com/p/DSEGoo3jNGf/,Que rico se ve todo 🔥
casaroma.mid,17887951518398110,https://www.instagram.com/p/DSEGoo3jNGf/,Gracias por visitarnos y por capturar la esencia de Casa Roma ✨
elvago97,17880336045429631,https://www.instagram.com/p/DSEGoo3jNGf/,Belleza
moonicamarin,18094529548850355,https://www.instagram.com/p/DSEGoo3jNGf/,🤩🤩🤩
saul.galdamez10,17920960524213586,https://www.instagram.com/p/DSEGoo3jNGf/,
arqueocris,17851423581599634,https://www.instagram.com/p/DSEGoo3jNGf/,Delicia
cristtipimentel,18377529835156388,https://www.instagram.com/p/DSEGoo3jNGf/,Dios mio se ve deli todoo
