hashtags:,#trenmaya,#yucatan,#chichenitza
post_url,username,comment_id,comment_text
ginn_amaya,18328598416241487,https://www.instagram.com/p/DRdJUH6j-bv/,Está precioso
pantera_fpv,18137065384464858,https://www.instagram.com/p/DRdJUH6j-bv/,Genial!
ginn_amaya,18003814748823491,https://www.instagram.com/p/DRdJUH6j-bv/,Oye y ya un poco más rápido el tren?
tonybolton1970,18060835523215396,https://www.instagram.com/p/DRdJUH6j-bv/,El tren Más lento del planeta
cristtipimentel,17907818292147756,https://www.instagram.com/p/DRdJUH6j-bv/,Si es practico
adventours.dbc,18071279828577495,https://www.instagram.com/p/DRdJUH6j-bv/,@cristtipimentel siiii
