hashtags:,#gopro,#gopromx,#DisfrutoCaribeMX
post_url,username,comment_id,comment_text
edificiosmayas,17920778167008404,https://www.instagram.com/p/BWBloQ0hg6h/,@trip_in_mexico es el mismo de tu última foto?
outdoorinfluenceco,17877058753105788,https://www.instagram.com/p/BWBloQ0hg6h/,I love your page
edificiosmayas,17865217930148144,https://www.instagram.com/p/BWBloQ0hg6h/,@advntrco Thank you very much! 👌
jonathanbuenfil,17887866316054275,https://www.instagram.com/p/BWBloQ0hg6h/,Me encanta! 👏🏼
coach__faulkner,17873837185125799,https://www.instagram.com/p/BWBloQ0hg6h/,This is wonderful
instamerida_ov,17861119546191125,https://www.instagram.com/p/BWBloQ0hg6h/,"Hola, como se llama el efecto de distorsión que usas? O es el lente?"
ginn_amaya,17886857602054877,https://www.instagram.com/p/BWBloQ0hg6h/,👌🏻
