hashtags:,#Merida,#Yucatan,#Mexico
post_url,username,comment_id,comment_text
vicdady,17849609053044661,https://www.instagram.com/p/2E1lkVuTXi/,Bonita toma 👍🙌👏
valenciamaria1962,17849608591044661,https://www.instagram.com/p/2E1lkVuTXi/,Hermoso
