hashtags:,#CésarIvánVázquez,#catsontour,#catsmx
post_url,username,comment_id,comment_text
gabydeteatro,17850780559063211,https://www.instagram.com/p/vFo5M4Eu6x/,Ameee ese día las adorooo @gabrielaalbo @lolafromhell @fermedrano
gaby.albo,17850780061063211,https://www.instagram.com/p/vFo5M4Eu6x/,Yaaay!! Gracias! Padrisima!
lisette_cosmica,17850779698063211,https://www.instagram.com/p/vFo5M4Eu6x/,Que lindoooo!!
