hashtags:,#Hercules,#HerculesTheMusical,#Xpre
post_url,username,comment_id,comment_text
chuchopitza,17850550393063211,https://www.instagram.com/p/mGZmYDkuwv/,"@imtheebomb_ veeeee, es mañana 160 el boleto a las 4 es dale mamón, @karlyflore gracias hermana arquii :* da tu tandaaaa  hahahaha,  @pathiitho da nadaaa mañana a las 4 160 el boleto te esperoooo ;)"
pattyglara,17850549244063211,https://www.instagram.com/p/mGZmYDkuwv/,@chuchoo_floores  yo qiero ir a verte
karlyflore,17850549145063211,https://www.instagram.com/p/mGZmYDkuwv/,Sin lugar a dudas! El mejor de los mejores #myBrother #best #teatro #fantasio #tqm
pochitocortez_,17850549103063211,https://www.instagram.com/p/mGZmYDkuwv/,@chuchoo_floores
pochitocortez_,17850549100063211,https://www.instagram.com/p/mGZmYDkuwv/,Nunca me invitas :(
