hashtags:,#Grease,#Actor
post_url,username,comment_id,comment_text
_alo.rods,17850425911063211,https://www.instagram.com/p/fN0oDDku_f/,Jajaja que dia :')
chuchopitza,17850425905063211,https://www.instagram.com/p/fN0oDDku_f/,Seguro algun tonto :B @alondrabernice
_alo.rods,17850425872063211,https://www.instagram.com/p/fN0oDDku_f/,A quien se le ocurre ponerle unos rines nuevos a una carcacha en el año del caldo:3 ??
