hashtags:,#MañanaSalgoACorrer,#Yolo
post_url,username,comment_id,comment_text
chuchopitza,17853229534007395,https://www.instagram.com/p/__CMDhEu3i/,@natalia_ojeda_chan Ay :(
natalia_a.ojeda,17853229522007395,https://www.instagram.com/p/__CMDhEu3i/,Chengeee 👌
